# 資料庫版本: 2021-08-22
道字典字號	道漢字音粵語音典字號	頁碼	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	韻母組	粵拼讀音	字頭	(輔助檢索用異體)	釋義	釋義本作「同上」	校訂註
D0306	B02I03	3	j	i	3	3	i	ji3	意		主～，心之所向也		
D0307	B02I07	3	j	i	3	3	i	ji3	薏		～米		
D0308	B02J02	3	j	i	4	4	i	ji4	而		轉語詞		
D0309	B02J04	3	j	i	4	4	i	ji4	夷		～狄。平也，滅也		
D0310	B02J52	3	j	i	4	4	i	ji4	疑		思～，不定也		
D0311	B02J11	3	j	i	4	4	i	ji4	兒		～子		
D0312	B02J13	3	j	i	4	4	i	ji4	怡		和悅也		
D0313	B02J39	3	j	i	4	4	i	ji4	移		遷也		
D0314	B02J20	3	j	i	4	4	i	ji4	姨		妻之姊妹曰～		
D0315	B02J54	3	j	i	4	4	i	ji4	儀		法也，禮～		
D0316	B02J12	3	j	i	4	4	i	ji4	宜		合也，當也		
D0317	B02J43	3	j	i	4	4	i	ji4	貽		遺也		
D0318	B02J49	3	j	i	4	4	i	ji4	飴		糖漿，極甘的		
D0319	B02K01	3	j	i	5	5	i	ji5	已		既也，止也		
D0320	B02K02	3	j	i	5	5	i	ji5	以		用也，為也		
D0321	B02K22	3	j	i	5	5	i	ji5	議		～論，謀～		
D0322	B02K06	3	j	i	5	5	i	ji5	耳		～目		
D0323	B02K15	3	j	i	5	5	i	ji5	爾		汝也，語盡詞		
D0324	B02K07	3	j	i	5	5	i	ji5	矣		結句之尾詞		
D0325	B02K19	3	j	i	5	5	i	ji5	擬		想也，揣度也		
D0326	B02K21	3	j	i	5	5	i	ji5	邇		近也		
D0327	B02L01	3	j	i	6	6	i	ji6	二		數目字		
D0328	B02L02	3	j	i	6	6	i	ji6	弍		數目字	Y	
D0329	B02L11	3	j	i	6	6	i	ji6	義		禮～，仁～		
D0330	B02L12	3	j	i	6	6	i	ji6	肄		習也		
D0331	B02L04	3	j	i	6	6	i	ji6	易		不難也		
D0332	B02L08	3	j	i	6	6	i	ji6	異		奇～，怪～		
D0333	B02L13	3	j	i	6	6	i	ji6	誼		情～，恩～		
D0334	B03C01	3		ng	4	4	ng	ng4	吾		我也		
D0335	B03C02	3		ng	4	4	ng	ng4	吳	吴|呉	姓～		
D0336	B03C06	3		ng	4	4	ng	ng4	梧		～桐		
D0337	B03C12	3		ng	5	5	ng	ng5	午		～時		
D0338	B03C13	3		ng	5	5	ng	ng5	伍		隊～，又姓		
D0339	B03C11	3		ng	5	5	ng	ng5	五		數目字		
D0340	B03C15	3		ng	5	5	ng	ng5	忤		～逆		
D0341	B03C14	3		ng	5	5	ng	ng5	仵		～作，又敵也		
D0342	B03C18	3		ng	6	6	ng	ng6	悟		知覺		
D0343	B03C23	3		ng	6	6	ng	ng6	誤		錯～		
D0344	B03C21	3		ng	6	6	ng	ng6	晤		會～，相見也		
D0345	B03C22	3		ng	6	6	ng	ng6	寤		睡醒曰～		
D0346	B03C26	3		m	4	4	m	m4	唔		不也		
D0401	B04B01	4	l	aang	5	5	aang	laang5	冷		寒～		
D0402	B04C01	4	l	aak	3	8	aang	laak3	嘞		助語詞		
D0403	B04D27	4	l	ing	4	4	ing	ling4	零		～碎		
D0404	B04D45	4	l	ing	4	4	ing	ling4	靈		～敏，精～，神～		
D0405	B04D10	4	l	ing	4	4	ing	ling4	苓		茯～		
D0406	B04D19	4	l	ing	4	4	ing	ling4	聆		聽也		
D0407	B04D15	4	l	ing	4	4	ing	ling4	陵		大阜也		
D0408	B04D30	4	l	ing	4	4	ing	ling4	綾		～羅		
D0409	B04D26	4	l	ing	4	4	ing	ling4	鈴		馬～，响～		
D0410	B04D02	4	l	ing	4	4	ing	ling4	伶		～俐，～人		
D0411	B04D09	4	l	ing	4	4	ing	ling4	玲		～瓏		
D0412	B04D12	4	l	ing	4	4	ing	ling4	凌		欺～		
D0413	B04D23	4	l	ing	4	4	ing	ling4	菱		～角		
D0414	B04D40	4	l	ing	4	4	ing	ling4	齡		年～		
D0415	B04D18	4	l	ing	4	4	ing	ling4	翎		鳥羽		
D0416	B04D21	4	l	ing	4	4	ing	ling4	崚		山高貌		
D0417	B04D49	4	l	ing	5	5	ing	ling5	嶺		高山也		
D0418	B04D48	4	l	ing	5	5	ing	ling5	領		頸也，～袖		
D0419	B04D50	4	l	ing	6	6	ing	ling6	令		善也，法～，命～		
D0420	B04D51	4	l	ing	6	6	ing	ling6	另		別也，各也		
D0421	B04E04	4	l	ik	1	7	ing	lik1	爍		光明也		
D0422	B04E13	4	l	ik	1	7	ing	lik1	靂		霹～，雷聲也		
D0423	B04E18	4	l	ik	6	9	ing	lik6	曆		日～		
D0424	B04E15	4	l	ik	6	9	ing	lik6	力		勇～，氣～		
D0425	B04E19	4	l	ik	6	9	ing	lik6	歷		來～，經～		
D0426	B04F02	4	l	ung	1	1	ung	lung1	窿		穴也		
D0427	B04G04	4	l	ung	4	4	ung	lung4	龍		～虎，一條～		
D0428	B04G01	4	l	ung	4	4	ung	lung4	隆		興～，豐～		
D0429	B04G12	4	l	ung	4	4	ung	lung4	瓏		玲～		
D0430	B04G17	4	l	ung	4	4	ung	lung4	聾		耳不聞		
D0431	B04G19	4	l	ung	4	4	ung	lung4	籠		燈～		
D0432	B04G07	4	l	ung	4	4	ung	lung4	嚨		喉～		
D0433	B04G23	4	l	ung	5	5	ung	lung5	壟		～斷，墳墓		
D0434	B04G20	4	l	ung	5	5	ung	lung5	槓		木～		
D0435	B04G25	4	l	ung	6	6	ung	lung6	弄		戲～，玩～		
D0436	B04H03	4	l	uk	1	7	ung	luk1	碌		勞～		
D0437	B04H07	4	l	uk	1	7	ung	luk1	轆		木～，又車聲		
D0438	B04H09	4	l	uk	6	9	ung	luk6	六		數目字		
D0439	B04H13	4	l	uk	6	9	ung	luk6	陸		～續，姓～		
D0440	B04H12	4	l	uk	6	9	ung	luk6	鹿		獸名		
D0441	B04H29	4	l	uk	6	9	ung	luk6	綠	緑	～色		
D0442	B04H32	4	l	uk	6	9	ung	luk6	錄	録	記～		
D0443	B04H22	4	l	uk	6	9	ung	luk6	祿	禄	俸～，福～		
D0444	B04H27	4	l	uk	6	9	ung	luk6	戮		殺～		
D0445	B04I02	4	l	eng	3	3	eng	leng3	靚		美麗也		
D0446		4	l	eng	4	4	eng	leng4	鯪		土～魚		
D0447	B04K01	4	l	ek	6	9	eng	lek6	癧		頸～		
D0448	B04L01	4	l	aan	1	1	aan	laan1	欄		市～		
D0449	B04M05	4	l	aan	4	4	aan	laan4	蘭		～花		
D0450	B04M04	4	l	aan	4	4	aan	laan4	欄		～杆，牛～		
D0451	B04M03	4	l	aan	4	4	aan	laan4	攔		阻～		
D0501	B04M02	5	l	aan	4	4	aan	laan4	瀾		波～		
D0502	B04M10	5	l	aan	5	5	aan	laan5	懶		～惰		
D0503	B04M12	5	l	aan	6	6	aan	laan6	爛		燦～，腐～		
D0504	B04N05	5	l	aat	6	9	aan	laat6	辣		辛～，苦～		
D0505	B04O02	5	l	in	4	4	in	lin4	連		接續。～合		
D0506	B04O05	5	l	in	4	4	in	lin4	蓮		～花		
D0507	B04O07	5	l	in	4	4	in	lin4	憐		～恤		
D0508	B04O16	5	l	in	6	6	in	lin6	練		～習		
D0509	B04O17	5	l	in	6	6	in	lin6	鍊	錬	鎖～		
D0510	B04O15	5	l	in	6	6	in	lin6	煉		煅～		
D0511	B04P01	5	l	it	3	8	in	lit3	裂		破爛		
D0512	B04P05	5	l	it	6	9	in	lit6	烈		火猛。激～		
D0513	B04P02	5	l	it	6	9	in	lit6	列		排～，分～		
D0514	B04Q01	5	l	at	1	7	an	lat1	甩		脫離也		
D0515	B05A02	5	l	aam	2	2	aam	laam2	𭣄	攬	總持也，～抱也		
D0516		5	l	aam	2	2	aam	laam2	㰖	欖	山～，果名		
D0517	B05B06	5	l	aam	4	4	aam	laam4	籃		竹～		
D0518	B05B01	5	l	aam	4	4	aam	laam4	婪		貪～		
D0519	B05B05	5	l	aam	4	4	aam	laam4	襤		破爛污垢之衣也		
D0520	B05B03	5	l	aam	4	4	aam	laam4	藍		～色		
D0521	B05B02	5	l	aam	4	4	aam	laam4	嵐		山～，瘴氣		
D0522	B05B08	5	l	aam	5	5	aam	laam5	覽	覧	觀～		
D0523	B05B16	5	l	aam	6	6	aam	laam6	艦		戰船		
D0524	B05B14	5	l	aam	6	6	aam	laam6	濫		泛～		
D0525	B05B18	5	l	aam	6	6	aam	laam6	䌫	纜	大繩		
D0526	B05C03	5	l	aap	6	9	aam	laap6	垃		～圾		
D0527	B05C02	5	l	aap	6	9	aam	laap6	立		起～，建也		
D0528	B05C08	5	l	aap	6	9	aam	laap6	臘		～味		
D0529	B05C09	5	l	aap	6	9	aam	laap6	蠟		蜜～		
D0530	B05C05	5	l	aap	6	9	aam	laap6	蜡		仝臘		
D0531	B05D02	5	l	im	4	4	im	lim4	廉		清～，不貪		
D0532	B05D05	5	l	im	4	4	im	lim4	奩		鏡匣，粧～		
D0533	B05D14	5	l	im	4	4	im	lim4	簾		竹～		
D0534	B05D15	5	l	im	4	4	im	lim4	鐮	䥥	鈎～		
D0535	B05D20	5	l	im	5	5	im	lim5	殮		以衣～死者		
D0536	B05D21	5	l	im	5	5	im	lim5	歛		收～		
D0537	B05D18	5	l	im	5	5	im	lim5	臉		面也		
D0538	B05E01	5	l	ip	6	9	im	lip6	獵		逐取禽獸也		
D0539	B05G01	5	l	am	4	4	am	lam4	林		樹～。又姓		
D0540	B05G02	5	l	am	4	4	am	lam4	淋		～水		
D0541	B05G06	5	l	am	4	4	am	lam4	臨		到也		
D0542	B05G07	5	l	am	4	4	am	lam4	霖		甘～，時雨也		
D0543	B05G10	5	l	am	5	5	am	lam5	廪	廩	倉～		
D0544	B05G09	5	l	am	5	5	am	lam5	凛		危懼也		
D0545	B05H02	5	l	ap	1	7	am	lap1	笠		簑～，帽～		
D0601	B05H04	6	l	ap	6	9	am	lap6	立		起～，豎～		
D0602	B05H05	6	l	ap	6	9	am	lap6	垃		～圾		
D0603	B05I01	6	l	ang	1	1	ang	lang1	舲		小船之有窗的		
D0604	B05J07	6	l	ak	6	9	ang	lak6	勒		～索		
D0605	B05J03	6	l	ak	6	9	ang	lak6	叻		石～，地名		
D0606	B05K01	6	l	ong	4	4	ong	long4	郎	郞	男子之稱		
D0607	B05K03	6	l	ong	4	4	ong	long4	狼		豺～		
D0608	B05K09	6	l	ong	4	4	ong	long4	廊		走～		
D0609	B05K10	6	l	ong	4	4	ong	long4	榔		檳～		
D0610	B05K15	6	l	ong	4	4	ong	long4	螂		螳～		
D0611	B05K19	6	l	ong	5	5	ong	long5	朗		明～		
D0612	B05K25	6	l	ong	6	6	ong	long6	晾		～衫，晒～		
D0613	B05L16	6	l	ok	3	8	ong	lok3	駱		～駝		
D0614	B05L08	6	l	ok	3	8	ong	lok3	絡		聯～，脈～		
D0615	B05L17	6	l	ok	3	8	ong	lok3	骼		骨～		
D0616	B05L01	6	l	ok	3	8	ong	lok3	洛		水名		
D0617	B05L03	6	l	ok	3	8	ong	lok3	咯		助語詞		
D0618	B05L20	6	l	ok	6	9	ong	lok6	樂		歡～，快～		
D0619	B05L19	6	l	ok	6	9	ong	lok6	落		降～		
D0620	B05M01	6	l	eon	2	2	eon	leon2	卵		蛋也		
D0621	B05N02	6	l	eon	4	4	eon	leon4	倫		五～，～類		
D0622	B05N11	6	l	eon	4	4	eon	leon4	輪		車～		
D0623	B05N05	6	l	eon	4	4	eon	leon4	崙		崑～		
D0624	B05N10	6	l	eon	4	4	eon	leon4	鄰	隣	比也，近也		
D0625	B05N09	6	l	eon	4	4	eon	leon4	綸		經～		
D0626	B05N23	6	l	eon	4	4	eon	leon4	鱗		魚甲		
D0627	B05N24	6	l	eon	4	4	eon	leon4	麟		麒～		
D0628	B05N06	6	l	eon	4	4	eon	leon4	淪		沉～，衰落也		
D0629	B05N29	6	l	eon	6	6	eon	leon6	論		議～，辯～		
D0630	B05N25	6	l	eon	6	6	eon	leon6	吝		鄙～，慳～		
D0631	B05O03	6	l	eot	6	9	eon	leot6	栗		～子		
D0632	B05O02	6	l	eot	6	9	eon	leot6	律		呂～，法～		
D0633	B05P01	6	l	yun	1	1	yun	lyun1	攣		曲也		
D0634	B05P06	6	l	yun	2	2	yun	lyun2	戀		依～，眷～，～愛		
D0635	B05Q02	6	l	yun	4	4	yun	lyun4	聯		連也		
D0636	B05Q09	6	l	yun	4	4	yun	lyun4	鸞		～鳳		
D0637	B05Q11	6	l	yun	6	6	yun	lyun6	亂		擾～，不治平也		
D0638	B05R01	6	l	yut	3	8	yun	lyut3	劣		下也，鄙陋也		
D0639	B05S02	6	l	oeng	2	2	oeng	loeng2	両		十錢為～		
D0640	B05T01	6	l	oeng	4	4	oeng	loeng4	良		～好，賢～		
D0641	B05T06	6	l	oeng	4	4	oeng	loeng4	量		商～，～度		
D0642		6	l	oeng	4	4	oeng	loeng4	凉	涼	～凍		
D0643	B05T03	6	l	oeng	4	4	oeng	loeng4	梁		～姓		
D0644	B05T04	6	l	oeng	4	4	oeng	loeng4	莨		薯～		
D0645	B05T09	6	l	oeng	4	4	oeng	loeng4	粱		谷名		
D0646	B05T11	6	l	oeng	4	4	oeng	loeng4	樑		柱～		
D0647	B05T13	6	l	oeng	4	4	oeng	loeng4	糧		食～，米～		
D0648	B05T08	6	l	oeng	4	4	oeng	loeng4	粮		食～，米～	Y	
D0649	B05T16	6	l	oeng	5	5	oeng	loeng5	两		二也		
D0650	B05T22	6	l	oeng	5	5	oeng	loeng5	輛		車數		
D0651	B05T24	6	l	oeng	6	6	oeng	loeng6	亮		光～		
D0652	B05T29	6	l	oeng	6	6	oeng	loeng6	諒		料也。原～		
D0653	B05T26	6	l	oeng	6	6	oeng	loeng6	量		度～，器～		
D0701	B05U03	7	l	oek	6	9	oeng	loek6	略		簡～，韜～，謀～		
D0702	B05U04	7	l	oek	6	9	oeng	loek6	掠		劫～		
D0703	B05U01	7	l	oek	6	9	oeng	loek6	剠		仝掠		
D0704	B06A01	7	l	aai	1	1	aai	laai1	拉		～拖		
D0705	B06A05	7	l	aai	3	3	aai	laai3	癩		皮膚病名		
D0706		7	l	aai	6	6	aai	laai6	頼	賴	倚～		
D0707	B06C03	7	l	ei	1	1	ei	lei1	璃		玻～		
D0708	B06D01	7	l	ei	4	4	ei	lei4	厘		正也。毛～		
D0709	B06D05	7	l	ei	4	4	ei	lei4	梨	棃	沙～		
D0710	B06D31	7	l	ei	4	4	ei	lei4	離		別也		
D0711	B06D13	7	l	ei	4	4	ei	lei4	漓		大雨也。淋～		
D0712	B06D41	7	l	ei	4	4	ei	lei4	籬		竹～，藩～		
D0713	B06D16	7	l	ei	4	4	ei	lei4	璃		琉～		
D0714	B06D29	7	l	ei	4	4	ei	lei4	釐		正也。毛～		
D0715	B06D22	7	l	ei	4	4	ei	lei4	罹		遇也		
D0716	B06D04	7	l	ei	4	4	ei	lei4	狸		狐～		
D0717	B06D46	7	l	ei	5	5	ei	lei5	李		菓名。又姓		
D0718	B06D57	7	l	ei	5	5	ei	lei5	裏		表～，內面也		
D0719	B06D55	7	l	ei	5	5	ei	lei5	理		道～，治也		
D0720	B06D47	7	l	ei	5	5	ei	lei5	里		鄰～。又路程		
D0721	B06D49	7	l	ei	5	5	ei	lei5	娌		妯～		
D0722	B06D56	7	l	ei	5	5	ei	lei5	裡		內也。表～		
D0723	B06D59	7	l	ei	5	5	ei	lei5	履		鞋也。步也		
D0724	B06D60	7	l	ei	5	5	ei	lei5	鯉		～魚		
D0725	B06D52	7	l	ei	5	5	ei	lei5	𢃇		船～		
D0726	B06D71	7	l	ei	6	6	ei	lei6	痢		疴～		
D0727	B06D62	7	l	ei	6	6	ei	lei6	吏		官～		
D0728	B06D63	7	l	ei	6	6	ei	lei6	利		～益，宜也		
D0729	B06D67	7	l	ei	6	6	ei	lei6	莉		茉～		
D0730	B06G03	7	l	au	1	1	au	lau1	摟		～抱		
D0731	B06G04	7	l	au	1	1	au	lau1	褸		外衣也。大～		
D0732	B06G05	7	l	au	1	1	au	lau1	蔞		～葉		
D0733	B06H01	7	l	au	4	4	au	lau4	流		河～，～動		
D0734	B06H02	7	l	au	4	4	au	lau4	留		住也，止也。久～		
D0735	B06H11	7	l	au	4	4	au	lau4	榴		石～，果名		
D0736	B06H23	7	l	au	4	4	au	lau4	樓		～閣		
D0737	B06H24	7	l	au	4	4	au	lau4	劉		～姓		
D0738	B06H06	7	l	au	4	4	au	lau4	硫		～磺		
D0739	B06H03	7	l	au	4	4	au	lau4	琉		～璃		
D0740		7	l	au	5	5	au	lau5	柳		楊～		
D0741	B06H51	7	l	au	6	6	au	lau6	陋		鄙～，劣也		
D0742	B06H55	7	l	au	6	6	au	lau6	漏		洩～，疏～		
D0743	B06I03	7	l	ai	4	4	ai	lai4	黎		眾也。又姓		
D0744	B06I02	7	l	ai	4	4	ai	lai4	犂	犁	耕田之器		
D0745	B06I09	7	l	ai	5	5	ai	lai5	禮		～儀		
D0746	B06I26	7	l	ai	6	6	ai	lai6	麗		華～，美～		
D0747	B06I14	7	l	ai	6	6	ai	lai6	例		法則也		
D0748	B06I22	7	l	ai	6	6	ai	lai6	勵		勉～		
D0749	B06I18	7	l	ai	6	6	ai	lai6	荔	茘	～枝		
D0750	B06I21	7	l	ai	6	6	ai	lai6	厲		嚴～，猛也		
D0751	B06I30	7	l	ai	6	6	ai	lai6	儷		伉～		
D0752	B06J01	7	l	ou	1	1	ou	lou1	撈		得也		
D0753	B06J03	7	l	ou	2	2	ou	lou2	佬		成人之男子		
D0801	B06K05	8	l	ou	4	4	ou	lou4	勞		～苦，勤～		
D0802	B06K01	8	l	ou	4	4	ou	lou4	牢		監～，堅～，～籠		
D0803	B06K10	8	l	ou	4	4	ou	lou4	盧		～姓		
D0804	B06K11	8	l	ou	4	4	ou	lou4	癆		內傷病		
D0805	B06K17	8	l	ou	4	4	ou	lou4	爐		火～，香～		
D0806	B06K18	8	l	ou	4	4	ou	lou4	蘆		～葦		
D0807	B06K28	8	l	ou	4	4	ou	lou4	驢		～馬，長耳者		
D0808	B06K27	8	l	ou	4	4	ou	lou4	顱		頭～		
D0809	B06K29	8	l	ou	4	4	ou	lou4	鱸		～魚		
D0810	B06K16	8	l	ou	4	4	ou	lou4	廬		～屋		
D0811	B06K31	8	l	ou	5	5	ou	lou5	老		～大		
D0812	B06K37	8	l	ou	5	5	ou	lou5	鹵		～莽		
D0813	B06K43	8	l	ou	5	5	ou	lou5	魯		遲鈍也。又國名		
D0814	B06K46	8	l	ou	5	5	ou	lou5	擄		～掠		
