# 資料庫版本: 2020-06-14
序號	頁碼	勘誤表頁碼	音節組	字頭	兼容字頭	讀音	聲調	讀音分類	讀音備註	釋義	字條校訂註	義項#	讀音#
008.0.02.0.11	4		án	鷃		án꜄	陰去					1/1	1/1
009.0.01.0.11	4		ang	鶯		꜀ang	陰平					1/1	1/1
009.0.02.0.11	4		ang	罃		꜀ang	陰平					1/1	1/1
009.0.03.0.11	4		ang	嚶		꜀ang	陰平					1/1	1/1
009.0.04.0.11	4		ang	哽		꜂ang	陰上					1/1	1/1
009.0.05.0.11	4		ang	㾘		꜂ang	陰上					1/1	1/1
009.0.06.0.11	4		ang	更		ang꜄	陰去					1/1	1/1
010.0.01.0.11	4		áng	甖|罌		꜀áng	陰平					1/1	1/1
011.0.01.0.11	4		ap	洽		ap꜆	陰入					1/2	1/1
011.0.01.0.21	4		ap	洽		háp꜇	陽入			A colloquial word. To cover, over, to keep from the air; to cover, as with a poultice;…		2/2	1/1
012.0.01.0.11	5		áp	鴨		áp꜆	陰入			Read [áp꜆]. To instil, to saturate, to soak…		1/1	1/1
012.0.02.0.11	5		áp	押		áp꜆	陰入					1/1	1/1
013.0.01.0.11	5		at	○		at꜆	陰入			A colloquial word. To thrust in, to put into, as a purse or drawer; [at꜆ lok꜇] put it in; [at꜆ ꜃k‘ü iú꜄] he must want it; make him take it		1/1	1/1
013.0.02.0.11	5		at	遏		at꜆	陰入					1/1	1/1
014.0.01.0.11	5		át	押		át꜆	陰入					1/1	1/1
014.0.02.0.11	5		át	戞		át꜆	陰入					1/1	1/1
014.0.03.0.11	5		át	揠		át꜆	陰入					1/1	1/1
014.0.04.0.11	5		át	秸		át꜆	陰入					1/1	1/1
014.0.05.0.11	5		át	恝		át꜆	陰入					1/1	1/1
014.0.06.0.11	6		át	壓		át꜆	陰入					1/1	1/1
014.0.07.0.11	6		át	閼		át꜆	陰入					1/1	1/1
014.0.08.0.11	6		át	頞		át꜆	陰入					1/1	1/1
015.0.01.0.11	6		au	區		꜀au	陰平					1/1	1/1
015.0.02.0.11	6		au	甌		꜀au	陰平					1/1	1/1
015.0.03.0.11	6		au	鷗		꜀au	陰平					1/1	1/1
015.0.04.0.11	6		au	謳		꜀au	陰平					1/1	1/1
015.0.05.0.11	6		au	歐		꜀au	陰平					1/1	1/1
015.0.06.0.11	6		au	嘔		꜂au	陰上					1/1	1/1
015.0.07.0.11	6		au	毆		꜂au	陰上					1/1	1/1
015.0.08.0.11	6		au	漚		au꜄	陰去			To soak, to macerate, to steep…		1/2	1/1
015.0.08.0.21	6		au	漚		꜀au	陰平			Bubbles on the water; frothy spume		2/2	1/1
016.0.01.0.11	7		áu	坳		꜀áu	陰平					1/1	1/1
016.0.02.0.11	7		áu	拗		꜂áu	陰上					1/1	1/1
016.0.03.0.11	7		áu	拗		áu꜄	陰去					1/1	1/1
016.0.04.0.11	7		áu	坳		áu꜄	陰去					1/1	1/1
016.0.05.0.11	7		áu	凹		áu꜄	陰去					1/1	1/1
017.0.01.0.11	7		chá	渣		꜀chá	陰平					1/1	1/1
017.0.02.0.11	7		chá	樝		꜀chá	陰平					1/1	1/1
017.0.03.0.11	7		chá	皻		꜀chá	陰平					1/1	1/1
017.0.04.0.11	7		chá	蹅		꜀chá	陰平					1/1	1/1
017.0.05.0.11	7		chá	㪥		꜀chá	陰平					1/1	1/1
017.0.06.0.11	7		chá	揸		꜀chá	陰平					1/1	1/1
017.0.07.0.11	7		chá	𠾵		꜀chá	陰平			A colloquial partile implying a short time; [꜂tang ꜃há ꜀chá]! Wait a moment; [꜀yam ꜁ch‘á ꜀chá], only just to take a cup of tea		1/1	1/1
017.0.08.0.11	7		chá	撾		꜀chá	陰平					1/1	1/1
017.0.09.0.11	7		chá	鮓		꜂chá	陰上			A rank condiment of fish or flesh and salted hashed fine, with red rice and oil; [꜀chá ꜁ü], a sort of Medosa or sea-bluber; [lá꜅ ꜂chá], rank, dirty, foul.		1/1	1/1
017.0.10.0.11	8		chá	痄		꜂chá	陰上					1/1	1/1
017.0.11.0.11	8		chá	詐		chá꜄	陰去					1/1	1/1
017.0.12.0.11	8		chá	蚱		chá꜄	陰去					1/1	1/1
017.0.13.0.11	8		chá	醡		chá꜄	陰去					1/1	1/1
017.0.14.0.11	8		chá	榨		chá꜄	陰去					1/1	1/1
017.0.15.0.11	8		chá	乍		chá꜄	陰去					1/1	1/1
017.0.16.0.11	8		chá	搾		chá꜄	陰去					1/1	1/1
017.0.17.0.11	8		chá	咋		chá꜄	陰去					1/1	1/1
018.0.01.0.11	8		ch‘á	差		꜀ch‘á	陰平					1/1	1/1
018.0.02.0.11	8		ch‘á	汊|岔		꜀ch‘á	陰平					1/1	1/1
018.0.03.0.11	8		ch‘á	义		꜀ch‘á	陰平					1/1	1/1
018.0.04.0.11	8		ch‘á	扠		꜀ch‘á	陰平					1/1	1/1
018.0.05.0.11	8		ch‘á	茶		꜁ch‘á	陽平					1/1	1/1
018.0.06.0.11	9		ch‘á	嗏		꜁ch‘á	陽平					1/1	1/1
018.0.07.0.11	9		ch‘á	搽		꜁ch‘á	陽平					1/1	1/1
018.0.08.0.11	9		ch‘á	搓		꜁ch‘á	陽平					1/1	1/1
018.0.09.0.11	9		ch‘á	查		꜁ch‘á	陽平					1/1	1/1
018.0.10.0.11	9		ch‘á	詫		ch‘á꜄	陰去					1/1	1/1
018.0.11.0.11	9		ch‘á	吒|咤		ch‘á꜄	陰去					1/1	1/1
018.0.12.0.11	9		ch‘á	奼		ch‘á꜄	陰去					1/1	1/1
018.0.13.0.11	9		ch‘á	蜡		ch‘á꜄	陰去					1/1	1/1
019.0.01.0.11	9		chai	擠		꜀chai	陰平			A colloquial word. To place, to put down, to put by; [꜀chai ꜁mái], put it aside; [꜀chai ꜀pín ch‘ü꜄], where shall I put it? [꜀chai ꜀pín ch‘ü꜄ ꜀tò ꜂hò], put in it down anywhere.		1/1	1/1
019.0.02.0.11	9		chai	晣		chai꜄	陰去					1/1	1/1
019.0.03.0.11	9		chai	制		chai꜄	陰去					1/1	1/1
019.0.04.0.11	9		chai	製		chai꜄	陰去					1/1	1/1
019.0.05.0.11	10		chai	掣		chai꜄	陰去					1/1	1/1
019.0.06.0.11	10		chai	滯		chai꜅	陽去					1/1	1/1
020.0.01.0.11	10		chái	齋|斋		꜀chái	陰平					1/1	1/1
020.0.02.0.11	10		chái	齊		꜀chái	陰平					1/1	1/1
020.0.03.0.11	10		chái	債		chái꜄	陰去					1/1	1/1
020.0.04.0.11	10		chái	寨|砦		chái꜅	陽去					1/1	1/1
020.0.05.0.11	10		chái	豸		chái꜅	陽去					1/2	1/1
020.0.05.0.21	10		chái	豸		꜂chí	陰上					2/2	1/1
021.0.01.0.11	11		ch‘ái	差		꜀ch‘ái	陰平					1/1	1/1
021.0.02.0.11	11		ch‘ái	釵		꜀ch‘ái	陰平					1/1	1/1
021.0.03.0.11	11		ch‘ái	猜		꜀ch‘ái	陰平					1/1	1/1
021.0.04.0.11	11		ch‘ái	柴		꜁ch‘ái	陽平					1/1	1/1
021.0.05.0.11	11		ch‘ái	儕		꜁ch‘ái	陽平					1/1	1/1
021.0.06.0.11	11		ch‘ái	豺		꜁ch‘ái	陽平					1/1	1/1
021.0.07.0.11	11		ch‘ái	踹		꜂ch‘ái	陰上					1/1	1/2
021.0.07.0.12	11		ch‘ái	踹		꜀tün	陰平	ALSO_PRO				1/1	2/2
021.0.08.0.11	11		ch‘ái	蠆		ch‘ái꜄	陰去					1/1	1/1
021.0.09.0.11	11		ch‘ái	瘵		ch‘ái꜄	陰去					1/1	1/1
021.0.10.0.11	11		ch‘ái	嘬		ch‘ái꜄	陰去					1/1	1/1
022.0.01.0.11	12		chak	仄		chak꜆	陰入					1/1	1/1
022.0.02.0.11	12		chak	昃		chak꜆	陰入					1/1	1/1
022.0.03.0.11	12		chak	簀		chak꜆	陰入					1/1	1/1
022.0.04.0.11	12		chak	賾		chak꜆	陰入					1/1	1/1
022.0.05.0.11	12		chak	側		chak꜆	陰入					1/1	1/1
023.0.01.0.11	12		ch‘ak	測		ch‘ak꜆	陰入					1/1	1/1
023.0.02.0.11	12		ch‘ak	惻		ch‘ak꜆	陰入					1/1	1/1
024.0.01.0.11	12		chák	責		chák꜆	陰入					1/1	1/1
024.0.02.0.11	12		chák	窄		chák꜆	陰入					1/1	1/1
024.0.03.0.11	12		chák	笮		chák꜆	陰入					1/1	1/1
024.0.04.0.11	13		chák	舴		chák꜆	陰入					1/1	1/1
024.0.05.0.11	13		chák	澤		chák꜇	陽入					1/1	1/1
024.0.06.0.11	13		chák	擇		chák꜇	陽入					1/1	1/1
024.0.07.0.11	13		chák	擲		chák꜇	陽入					1/1	1/1
024.0.08.0.11	13		chák	摘		chák꜇	陽入					1/1	1/1
024.0.09.0.11	13		chák	翟		chák꜇	陽入					1/1	1/1
024.0.10.0.11	13		chák	擢		chák꜇	陽入					1/1	1/1
024.0.11.0.11	13		chák	宅		chák꜇	陽入					1/1	1/1
024.0.12.0.11	13		chák	𧓸		chák꜇	陽入					1/1	1/1
024.0.13.0.11	13		chák	躑		chák꜇	陽入					1/1	1/1
024.0.14.0.11	13		chák	謫|讁		chák꜇	陽入					1/1	1/1
025.0.01.0.11	13		ch‘ák	策		ch‘ák꜆	陰入					1/1	1/1
025.0.02.0.11	14		ch‘ák	茦		ch‘ák꜆	陰入					1/1	1/1
025.0.03.0.11	14		ch‘ák	冊		ch‘ák꜆	陰入					1/1	1/1
025.0.04.0.11	14		ch‘ák	柵		ch‘ák꜆	陰入					1/1	1/1
025.0.05.0.11	14		ch‘ák	拆		ch‘ák꜆	陰入					1/1	1/1
025.0.06.0.11	14		ch‘ák	坼		ch‘ák꜆	陰入					1/1	1/1
026.0.01.0.11	14		cham	針|鍼		꜀cham	陰平					1/1	1/1
026.0.02.0.11	14		cham	箴		꜀cham	陰平					1/1	1/1
026.0.03.0.11	14		cham	砧|碪		꜀cham	陰平					1/1	1/1
026.0.04.0.11	14		cham	斟		꜀cham	陰平					1/1	1/1
026.0.05.0.11	14		cham	椹		꜀cham	陰平					1/1	1/1
026.0.06.0.11	14		cham	枕		꜂cham	陰上					1/1	1/1
026.0.07.0.11	15		cham	怎		꜂cham	陰上					1/1	1/1
026.0.08.0.11	15		cham	浸		cham꜄	陰去			A colloquial word. A coat, as of paint; a thickness, an envelop, a skin; [ts‘at꜆ ꜀sám cham꜄] varnished it three times; [mok꜆ yat꜆ cham꜄ ꜁p‘í], pull off one covering		1/1	1/1
026.0.09.0.11	15		cham	朕		cham꜅	陽去					1/1	1/1
027.0.01.0.11	15		ch‘am	沉|沈		꜁ch‘am	陽平					1/1	1/1
027.0.02.0.11	15		ch‘am	霃		꜁ch‘am	陽平					1/1	1/1
027.0.03.0.11	15		ch‘am	𩵫		꜂ch‘am	陰上					1/1	1/1
027.0.04.0.11	15		ch‘am	譖		ch‘am꜄	陰去					1/1	1/1
027.0.05.0.11	15		ch‘am	讖		ch‘am꜄	陰去			To verify, to prove; a prognostic; to fulfill; [ch‘am꜄ ꜃ü], a prophecy, a hidden meaning; [ch‘am꜄ hí꜄] tiresome, talkative; [ch‘am꜄ ꜂wai], to agree with the prophecy.		1/1	1/1
028.0.01.0.11	15		chám	斬		꜂chám	陰上					1/1	1/1
028.0.02.0.11	16		chám	湛		chám꜄	陰去					1/1	1/1
028.0.03.0.11	16		chám	蘸		chám꜄	陰去					1/1	1/1
028.0.04.0.11	16		chám	賺		chám꜅	陽去					1/1	1/1
028.0.05.0.11	16		chám	站		chám꜅	陽去					1/1	1/1
029.0.01.0.11	16		ch‘ám	攙		꜁ch‘ám	陽平					1/1	1/1
029.0.02.0.11	16		ch‘ám	杉		ch‘ám꜄	陰去					1/1	1/1
029.0.03.0.11	16		ch‘ám	懺		ch‘ám꜄	陰去					1/1	1/1
029.0.04.0.11	16		ch‘ám	儳		ch‘ám꜄	陰去					1/1	1/1
030.0.01.0.11	16		chan	眞|真		꜀chan	陰平					1/1	1/1
030.0.02.0.11	16		chan	珍		꜀chan	陰平					1/1	1/1
030.0.03.0.11	16		chan	甄		꜀chan	陰平					1/1	1/2
030.0.03.0.12	16		chan	甄		꜀yan	陰平	OFTEN_READ_CANTON				1/1	2/2
030.0.04.0.11	17		chan	振		chan꜄	陰去					1/1	1/1
030.0.05.0.11	17		chan	震		chan꜄	陰去					1/1	1/1
030.0.06.0.11	17		chan	賑		chan꜄	陰去					1/2	1/1
030.0.06.0.21	17		chan	賑		꜂chan	陰上					2/2	1/1
030.0.07.0.11	17		chan	鎭		chan꜄	陰去					1/1	1/1
030.0.08.0.11	17		chan	侲		chan꜄	陰去					1/1	1/1
030.0.09.0.11	17		chan	帪		chan꜄	陰去					1/1	1/1
030.0.10.0.11	17		chan	陣|陳		chan꜅	陽去					1/1	1/1
031.0.01.0.11	17		ch‘an	嗔		꜀ch‘an	陰平					1/2	1/1
031.0.01.0.21	17		ch‘an	嗔		꜁t‘ín	陽平					2/2	1/1
031.0.02.0.11	18		ch‘an	瞋		꜀ch‘an	陰平					1/1	1/1
031.0.03.0.11	18		ch‘an	陳		꜁ch‘an	陽平					1/1	1/1
031.0.04.0.11	18		ch‘an	蔯		꜁ch‘an	陽平					1/1	1/1
031.0.05.0.11	18		ch‘an	塵		꜁ch‘an	陽平					1/1	1/1
031.0.06.0.11	18		ch‘an	矧		꜂ch‘an	陰上					1/1	1/1
031.0.07.0.11	18		ch‘an	疹|疢		꜂ch‘an	陰上					1/1	1/1
031.0.08.0.11	18		ch‘an	哂		꜂ch‘an	陰上					1/1	1/1
031.0.09.0.11	18		ch‘an	畛		꜂ch‘an	陰上					1/1	1/1
031.0.10.0.11	18		ch‘an	紾		꜂ch‘an	陰上					1/1	1/1
031.0.11.0.11	18		ch‘an	袗		꜂ch‘an	陰上					1/1	1/1
031.0.12.0.11	18		ch‘an	診		꜂ch‘an	陰上					1/1	1/1
031.0.13.0.11	18		ch‘an	軫		꜂ch‘an	陰上					1/1	1/1
031.0.14.0.11	18		ch‘an	縝		꜂ch‘an	陰上					1/1	1/1
031.0.15.0.11	18		ch‘an	鬒		꜂ch‘an	陰上					1/1	1/1
031.0.16.0.11	18		ch‘an	襯		ch‘an꜄	陰去					1/1	1/1
031.0.17.0.11	19		ch‘an	櫬		ch‘an꜄	陰去					1/1	1/1
031.0.18.0.11	19		ch‘an	齔		ch‘an꜄	陰去					1/1	1/1
031.0.19.0.11	19		ch‘an	趁|趂		ch‘an꜄	陰去					1/1	1/1
032.0.01.0.11	19		chán	盞		꜂chán	陰上					1/1	1/1
032.0.02.0.11	19		chán	琖		꜂chán	陰上					1/1	1/1
032.0.03.0.11	19		chán	醆		꜂chán	陰上					1/1	1/1
032.0.04.0.11	19		chán	饌		chán꜅	陽去					1/1	1/1
032.0.05.0.11	19		chán	撰		chán꜅	陽去					1/3	1/1
032.0.05.0.21	19		chán	撰		꜂sün	陰上					2/3	1/1
032.0.05.0.31	19		chán	撰		sün꜄	陰去					3/3	1/1
032.0.06.0.11	19		chán	譔		chán꜅	陽去					1/1	1/1
032.0.07.0.11	19		chán	站		chán꜅	陽去					1/1	1/1
032.0.08.0.11	19		chán	棧		chán꜅	陽去					1/1	1/1
032.0.09.0.11	19		chán	輚		chán꜅	陽去					1/1	1/1
032.0.10.0.11	19		chán	虥		chán꜅	陽去					1/1	1/1
032.0.11.0.11	19		chán	綻		chán꜅	陽去					1/1	1/1
032.0.12.0.11	20		chán	贃		chán꜅	陽去			An unauthorized word. To profit, to make gain in trade; [chán꜅ ꜁ts‘ín], to make money; [꜀to chán꜅] profitable; [꜃mò tak꜆ chán꜅] no profit;…		1/2	1/1
032.0.12.0.21	20		chán	贃		꜂wán	陰上			To sell goods at a profit		2/2	1/1
033.0.01.0.11	20		ch‘án	產		꜂ch‘án	陰上					1/1	1/1
033.0.02.0.11	20		ch‘án	嵼		꜂ch‘án	陰上					1/1	1/1
033.0.03.0.11	20		ch‘án	剷|剗		꜂ch‘án	陰上					1/1	1/1
033.0.04.0.11	20		ch‘án	鏟		꜂ch‘án	陰上					1/1	1/1
033.0.05.0.11	20		ch‘án	棖		꜃ch‘án	陽上			A colloquial word. A door sill; a threshold; [꜃k‘í ꜁mún ꜃ch‘án], standing in the door-way.		1/1	1/1
034.0.01.0.11	20		chang	箏		꜀chang	陰平					1/1	1/1
034.0.02.0.11	20		chang	凈		꜀chang	陰平					1/1	1/1
034.0.03.0.11	20		chang	棦		꜀chang	陰平					1/1	1/1
034.0.04.0.11	20		chang	琤		꜀chang	陰平					1/1	1/1
034.0.05.0.11	20		chang	錚		꜀chang	陰平					1/1	1/1
034.0.06.0.11	20		chang	諍		chang꜄	陰去					1/1	1/1
035.0.01.0.11	20		cháng	爭		꜀cháng	陰平					1/1	1/1
035.0.02.0.11	21		cháng	㬹		꜀cháng	陰平					1/1	1/1
035.0.03.0.11	21		cháng	崢		꜀cháng	陰平					1/1	1/1
035.0.04.0.11	21		cháng	掙		cháng꜅	陽去					1/3	1/1
035.0.04.0.21	21		cháng	掙		꜀ch‘áng	陰平			to pierce, to stab		2/3	1/1
035.0.04.0.31	21		cháng	掙		chang꜄	陰去			to file		3/3	1/1
036.0.01.0.11	21		ch‘áng	撐|撑		꜀ch‘áng	陰平					1/1	1/1
036.0.02.0.11	21		ch‘áng	橕		꜀ch‘áng	陰平					1/2	1/1
036.0.02.0.21	21		ch‘áng	橕		ch‘áng꜄	陰去					2/2	1/1
036.0.03.0.11	21		ch‘áng	橙		꜁ch‘áng	陽平					1/1	1/1
036.0.04.0.11	21		ch‘áng	倀		꜁ch‘áng	陽平			Groping, going blindly; madly, carelessly; to fall down; [꜁ch‘áng ꜂kwai], a lates eaten by a tiger, *met.* one who entices to evil courses		1/1	1/1
037.0.01.0.11	22		chap	執		chap꜆	陰入					1/1	1/1
037.0.02.0.11	22		chap	縶		chap꜆	陰入					1/1	1/1
037.0.03.0.11	22		chap	汁		chap꜆	陰入					1/2	1/1
037.0.03.0.21	22		chap	汁		híp꜇	陽入					2/2	1/1
038.0.01.0.11	22		cháp	劄		cháp꜆	陰入					1/1	1/1
038.0.02.0.11	22		cháp	閘		cháp꜇	陽入					1/1	1/1
038.0.03.0.11	22		cháp	鈒		cháp꜇	陽入					1/2	1/1
038.0.03.0.21	22		cháp	鈒		sáp꜆	陰入					2/2	1/1
038.0.04.0.11	22		cháp	靸		cháp꜆	陰入					1/1	1/1
038.0.05.0.11	22		cháp	极		cháp꜇	陽入					1/2	1/1
038.0.05.0.21	22		cháp	极		k‘ap꜆	陰入					2/2	1/1
039.0.01.0.11	23		ch‘áp	挿|鍤		ch‘áp꜆	陰入					1/1	1/1
039.0.02.0.11	23		ch‘áp	扱		ch‘áp꜆	陰入					1/1	1/1
040.0.01.0.11	23		chat	郅		chat꜆	陰入					1/1	1/1
040.0.02.0.11	23		chat	質		chat꜆	陰入					1/1	1/1
040.0.03.0.11	23		chat	鑕		chat꜆	陰入					1/1	1/1
040.0.04.0.11	23		chat	𨽥|隲		chat꜆	陰入					1/1	1/1
040.0.05.0.11	23		chat	只		chat꜆	陰入					1/1	1/2
040.0.05.0.12	23		chat	只		꜂chí	陰上					1/1	2/2
040.0.06.0.11	23		chat	枳		chat꜆	陰入					1/1	1/1
040.0.07.0.11	23		chat	窒		chat꜇	陽入					1/1	1/1
040.0.08.0.11	24		chat	姪		chat꜇	陽入					1/1	1/1
040.0.09.0.11	24		chat	蟄		chat꜇	陽入					1/1	1/1
040.0.10.0.11	24		chat	咥		chat꜇	陽入					1/1	1/1
040.0.11.0.11	24		chat	桎		chat꜇	陽入					1/1	1/1
040.0.12.0.11	24		chat	挃		chat꜇	陽入					1/1	1/1
040.0.13.0.11	24		chat	蛭		chat꜇	陽入					1/1	1/1
041.0.01.0.11	24		chát	扎		chát꜆	陰入					1/1	1/1
041.0.02.0.11	24		chát	札		chát꜆	陰入					1/1	1/1
041.0.03.0.11	24		chát	乹		chát꜆	陰入					1/1	1/1
041.0.04.0.11	24		chát	茁		chát꜆	陰入					1/1	1/1
042.0.01.0.11	24		ch‘át	察		ch‘át꜆	陰入					1/1	1/1
042.0.02.0.11	24		ch‘át	刹		ch‘át꜆	陰入					1/1	1/1
042.0.03.0.11	24		ch‘át	獺		ch‘át꜆	陰入					1/1	1/1
043.0.01.0.11	25		chau	周		꜀chau	陰平					1/1	1/1
043.0.02.0.11	25		chau	週		꜀chau	陰平					1/1	1/1
043.0.03.0.11	25		chau	賙		꜀chau	陰平					1/1	1/1
043.0.04.0.11	25		chau	輖		꜀chau	陰平					1/1	1/1
043.0.05.0.11	25		chau	侜		꜀chau	陰平					1/1	1/1
043.0.06.0.11	25		chau	舟		꜀chau	陰平					1/1	1/1
043.0.07.0.11	25		chau	輈		꜀chau	陰平					1/1	1/1
043.0.08.0.11	25		chau	州		꜀chau	陰平					1/1	1/1
043.0.09.0.11	25		chau	洲		꜀chau	陰平					1/1	1/1
043.0.10.0.11	25		chau	譸		꜀chau	陰平					1/1	1/1
043.0.11.0.11	25		chau	肘		꜂chau	陰上					1/1	1/1
043.0.12.0.11	25		chau	帚|箒		꜂chau	陰上					1/1	1/1
043.0.13.0.11	26		chau	晝		chau꜄	陰去					1/1	1/1
043.0.14.0.11	26		chau	咒|呪		chau꜄	陰去					1/1	1/1
043.0.15.0.11	26		chau	咮		chau꜄	陰去					1/1	1/1
043.0.16.0.11	26		chau	宙		chau꜅	陽去					1/1	1/1
043.0.17.0.11	26		chau	胄		chau꜅	陽去					1/1	1/1
043.0.18.0.11	26		chau	冑		chau꜅	陽去					1/1	1/1
043.0.19.0.11	26		chau	紂		chau꜅	陽去					1/1	1/1
043.0.20.0.11	26		chau	籀		chau꜅	陽去					1/1	1/1
043.0.21.0.11	26		chau	酎		chau꜅	陽去					1/1	1/1
044.0.01.0.11	26		ch‘au	抽		꜀ch‘au	陰平					1/1	1/1
044.0.02.0.11	26		ch‘au	篘		꜀ch‘au	陰平					1/1	1/1
044.0.03.0.11	26		ch‘au	瘳		꜀ch‘au	陰平					1/1	1/1
044.0.04.0.11	26		ch‘au	讐|仇		꜁ch‘au	陽平					1/1	1/1
044.0.05.0.11	27		ch‘au	酬|酧		꜁ch‘au	陽平					1/1	1/1
044.0.06.0.11	27		ch‘au	幬		꜁ch‘au	陽平					1/1	1/1
044.0.07.0.11	27		ch‘au	椆		꜁ch‘au	陽平					1/1	1/1
044.0.08.0.11	27		ch‘au	裯		꜁ch‘au	陽平					1/1	1/1
044.0.09.0.11	27		ch‘au	疇		꜁ch‘au	陽平					1/1	1/1
044.0.10.0.11	27		ch‘au	儔		꜁ch‘au	陽平					1/1	1/1
044.0.11.0.11	27		ch‘au	紬		꜁ch‘au	陽平					1/1	1/1
044.0.12.0.11	27		ch‘au	綢		꜁ch‘au	陽平					1/1	1/1
044.0.13.0.11	27		ch‘au	惆		꜁ch‘au	陽平					1/1	1/1
044.0.14.0.11	27		ch‘au	稠		꜁ch‘au	陽平					1/1	1/1
044.0.15.0.11	27		ch‘au	躊		꜁ch‘au	陽平					1/1	1/1
044.0.16.0.11	28		ch‘au	犨		꜁ch‘au	陽平					1/1	1/1
044.0.17.0.11	28		ch‘au	籌		꜁ch‘au	陽平					1/1	1/1
044.0.18.0.11	28		ch‘au	丑		꜂ch‘au	陰上					1/1	1/1
044.0.19.0.11	28		ch‘au	醜		꜂ch‘au	陰上					1/1	1/1
044.0.20.0.11	28		ch‘au	𧽒		꜃ch‘au	陽上					1/2	1/1
044.0.20.0.21	28		ch‘au	𧽒		cháu꜄	陰去					2/2	1/1
044.0.21.0.11	28		ch‘au	臭		ch‘au꜄	陰去					1/1	1/1
044.0.22.0.11	28		ch‘au	嗅		ch‘au꜄	陰去					1/1	1/1
044.0.23.0.11	28		ch‘au	糗		ch‘au꜄	陰去					1/1	1/1
045.0.01.0.11	28		cháu	嘲		꜀cháu	陰平					1/1	1/1
045.0.02.0.11	28		cháu	啁		꜀cháu	陰平					1/2	1/1
045.0.02.0.21	28		cháu	啁		꜀tò	陰平					2/2	1/1
045.0.03.0.11	29		cháu	爪		꜂cháu	陰上					1/1	1/1
045.0.04.0.11	29		cháu	抓		꜂cháu	陰上					1/1	1/1
045.0.05.0.11	29		cháu	找		꜂cháu	陰上					1/1	1/1
